Canonical Term,Canonical Definition,Object Type,Architecture Layer,Parent,Children,Allowed Aliases,Legacy Terms (Deprecated),Terms That Must Remain Distinct,Source Authority,Visual Semantic,Status,Notes
HOS™,Salt Basin Operating Highway System. Q2R Intelligence Layer for PE-backed mid-market SaaS. Operationalizes RLMM™.,Product,Product,MES Solutions LLC,—,"HOS, Highway Operating System, Handover Oversight & Stewardship, Historical Overview & Sequencing","HandoverOS (deprecated/legacy alias, July 2026)",Must not be confused with RLMM (the diagnostic) or The Salter Momentum (the methodology),SRC-001 — Explicit User Decision,Highway / route visualization,Canonical,Renamed from HandoverOS July 2026. Three acronym reads for different audiences.
RLMM™,Revenue Lifecycle Mechanics Maturity™. Proprietary diagnostic capability model. Tactically applies URM to revenue operations. Validated against APQC / CMMI / ASQ/ISO / ASC 606.,Diagnostic Model / IP,Methodology,MES Solutions LLC,—,Revenue Lifecycle Mechanics Maturity,—,Must not be confused with HOS (the platform) or The Salter Momentum (the master methodology),SRC-001,—,Candidate — stage names not yet finalized,OI-001: RLMM process stage names needed to complete crosswalk and build interactive app
The Salter Momentum™*,Master methodology — mindset / motion / manifestation. ™* does triple duty: trademark; Transformation > Manifestation; asterisk footnote is always 'Transformation > Manifestation'.,Methodology / IP,Methodology,—,"Understanding (phase), Rendering (phase), Manifesting (phase)",—,—,Must not be confused with RLMM (tactical diagnostic) or HOS (platform),SRC-001 — Explicit User Decision,—,Canonical,The ™* notation is load-bearing — asterisk signals the T>M meaning
Understanding (U),Phase 1 of The Salter Momentum™*. Meet the business where it's at. Empathy matters. Exit the Old World.,Phase,Methodology,The Salter Momentum™*,—,—,"Undertaking (deprecated — Betsy's correction)",—,SRC-001 — Explicit User Correction,—,Canonical,Old world trap: Linear Thinking + Undefined Success
Rendering (R),Phase 2 of The Salter Momentum™*. Course-correct. Recalibrate. Climb the mountain. Map: The New Standards → Advance: The Examples.,Phase,Methodology,The Salter Momentum™*,—,—,—,—,SRC-001,—,Canonical,Requires cross-functional coalescence
Manifesting (M),Phase 3 of The Salter Momentum™*. Defined Success. Measurable Outcomes. Seamless Operations. Own + Adopt + Report.,Phase,Methodology,The Salter Momentum™*,—,—,—,—,SRC-001,—,Canonical,Desired State: Goal reached = reality
SaltBridge,Named MES Solutions product. Category and function not yet defined.,Product,Product,MES Solutions LLC,—,—,—,Must not be confused with SaltChannels or SaltTide,SRC-001,—,Candidate — undefined,OI-006: needs definition
SaltChannels,Named MES Solutions product. Category and function not yet defined.,Product,Product,MES Solutions LLC,—,—,—,Must not be confused with SaltBridge or SaltTide,SRC-001,—,Candidate — undefined,OI-007: needs definition
Salt Covenant Solutions,Named MES Solutions product. Debt / credit solutions extending the covenant-of-salt lore from SaltTide. Confirmed July 7 2026.,Product,Product,MES Solutions LLC,—,—,—,—,SRC-001 — Explicit User Decision,Covenant of salt metaphor,Candidate — undefined beyond name,OI-008: needs definition beyond naming
MESS Platforms,Product suite sub-brand under MES Solutions. Houses all MES Solutions products collectively.,Brand / Product Suite,Product,MES Solutions LLC,—,—,—,Must not be confused with MES Subsidiaries (MESS) — dual-use flag open,SRC-001,—,Candidate — dual-use flag open,OI-002: dual use with Tier 2 MESS name pending confirmation
BestyStaff,Betsy's personal AI proxy agent. Name is intentional and fixed — never alter or correct.,Agent / Product,Agent,—,—,—,—,—,SRC-001 — Explicit User Decision,—,Canonical — Implemented,Name intentional: 'Besty' not 'Betsy' — not a typo. 9-second deliberate response delay. Full intake form. Loop-back logic.
Channel Rod,A named journey path within a channel. Carries lineage of events from entry to outcome. Rods are parallel and interdependent across Revenue / Customer / Member channels.,Architecture Concept,Data Model,Channel,Tributaries,—,—,"Rod must not be confused with tributary (lateral connection) or channel (the parent classification)",SRC-001 — SRC-003,Path color by rod type,Canonical,Rods must never have orphan relationships
Channel,The highest-level classification of a journey dimension (Revenue / Customer / Member / Financial). Parent of rods.,Architecture Concept,Data Model,—,Channel Rods,—,—,"Channel must not be confused with SaltChannels (the product)",SRC-001 — SRC-003,—,Canonical,Four canonical channels: CH-REV / CH-CUST / CH-MEMBER / CH-FIN
Tributary,A lateral connection between rods — either a relationship (cross-entity) or a change (state transition). NOT the same as the git concept of 'branch'.,Architecture Concept,Data Model,Channel Rod,—,—,Branch (only where semantics are correct — see note),Merge → use 'confluence' only where semantics are correct. Branch → use where semantic is organizational split not a tributary.,SRC-001 — SRC-003,Tributaries graphic metaphor,Canonical,TR-001: Health Plan→Schools (Funding); TR-002: Education→Schools (Sponsor); TR-003: Proposal→Contract (Negotiation)
Confluence,The point where tributaries merge or where journey outcomes converge. Maps to git 'merge' only where the convergence semantics are correct.,Architecture Concept,Data Model,—,—,—,—,"Do not map to 'merge' unless the convergence semantic is accurate in context",SRC-001,Confluence graphic metaphor,Canonical,—
Atom,A bounded governed metadata or evidence unit. Every atom belongs to exactly one molecule. Crystal atom visual representation.,Architecture Concept,Data Model,Molecule,—,Crystal atom,—,—,SRC-001 — SRC-003,Crystal Pillar / salt crystal graphic metaphor,Canonical,Validation rule: Every atom must be in one molecule
Molecule,A governed composition or capability grouping of atoms. Four canonical molecules: Customer Identity / Pricing / Contract / Revenue Recognition.,Architecture Concept,Data Model,—,Atoms,—,—,—,SRC-001 — SRC-003,—,Canonical,—
Magnetic Field,A convergence rule that pulls related atoms into their molecule.,Architecture Concept,Data Model,—,—,—,—,—,SRC-003,—,Canonical,MF-001: Customer atoms converge→Customer Identity; MF-002: Pricing atoms converge→Pricing
Journey Rod,Synonym for Channel Rod in the context of named journeys (Revenue Lifecycle / Customer Journey / Member Journey). These three are parallel and interdependent.,Architecture Concept,Data Model,—,—,Channel Rod,—,Journey Rods must preserve lineage / temporal states / evidence,SRC-001,—,Canonical,Three canonical journey rods: Revenue Lifecycle / Customer Journey / Member Journey
EIDOS,Salt Basin Enterprise Intelligent Data Orchestration System (or equivalent — exact expansion not confirmed in sources). The scenario repository and journey execution framework.,Platform / Framework,Platform,—,L2 Scenarios / L3 Scenarios,—,—,—,SRC-005,—,Candidate — expansion unconfirmed,SRC-005 is titled Salt_Basin_EIDOS_L2_Scenario_Repository
L2 Scenario,Level-2 journey scenario. Named journey with beginning state / ending state / typical complexity / primary actors. Expands into one complete L3 end-to-end journey.,Scenario,Data Model,Journey Rod,L3 Scenarios,—,—,—,SRC-005,—,Canonical,500 initial L2 scenarios across Revenue Lifecycle / Customer Journey and other rods (SRC-005)
Q2R,Quote-to-Revenue. The end-to-end lifecycle from initial prospect contact through final revenue recognition and renewal. Core operating concept for HOS™.,Process Concept,Methodology,—,11 Q2R steps,—,—,"Quote-to-Revenue must not be abbreviated to mean only the front-end (quote/contract) stages — it spans through rev rec and renewal",SRC-007 — SRC-008,—,Canonical,11 steps: Prospect→Qualify→Solution Design→Negotiate→Contract Execute→Onboard→Deliver→Bill→Collect→Rev Close→Renew
Fund Admin Upward Data Push,HOS™ core differentiator. Sits inside portco operational systems and automatically pushes clean deal-anchored data upward to fund admin systems (Allvue / iLevel / PitchBook). No existing competitor does this.,Product Capability,Product,HOS™,—,—,—,—,SRC-001,—,Canonical — Architecture (not yet implemented),Silver Lake / Zuora acquisition flagged as timing risk
QoE,Quality of Earnings. PE diligence process assessing revenue recognition controls and EBITDA reliability. HOS™ serves pre-acquisition / hold period / pre-exit QoE contexts.,Industry Term,Context,—,—,—,—,—,SRC-006,—,Canonical (industry term),—
ARR,Annual Recurring Revenue. Core SaaS financial metric. Every HOS™ scenario maps to ARR exposure.,Industry Term,Financial,—,—,—,—,—,SRC-007,—,Canonical (industry term),—
ASC 606,Revenue from Contracts with Customers. GAAP standard governing when and how revenue is recognized. Referenced across all HOS™ Q2R scenarios.,Regulatory Standard,Compliance,—,—,—,—,—,SRC-007,—,Canonical (industry standard),—
SOX 404(b),Sarbanes-Oxley Section 404(b). External auditor attestation of internal controls. Revenue recognition controls are the #1 cited deficiency area.,Regulatory Standard,Compliance,—,—,—,—,—,SRC-007,—,Canonical (industry standard),—
PCI DSS,Payment Card Industry Data Security Standard. Referenced in HOS™ billing track layer.,Regulatory Standard,Compliance,—,—,—,—,—,SRC-007,—,Canonical (industry standard),—
HERQ,Hot Elephant Resident Question. Content framework/series. Status: test run of format/visual language. Open whether to continue as own series or fold into Salt Basin structure.,Content Framework,Brand,—,—,—,—,—,SRC-001,Salter Momentum Mode 2 visual system,Open — see OI-005,Betsy's self-aware AI-transparent content format
Business Outcome Evidence Maturity,Newer framing for data/operational maturity assessment. Should be evaluated as the preferred framing where supported rather than reverting to generic data-maturity assessment.,Methodology Concept,Methodology,—,—,Operational Evidence Maturity,—,"Should not revert to generic 'data maturity assessment' language",SRC-000 directive,—,Candidate,—
CardWise,Deprecated product name for SaltTide™.,Legacy Term,—,—,—,—,CardWise,—,Explicit User Decision — SRC-001,—,Deprecated / Superseded,Renamed July 2026. Retained as legacy alias for historical traceability.
HandoverOS,Deprecated product name for HOS™.,Legacy Term,—,—,—,—,HandoverOS,—,Explicit User Decision — SRC-001,—,Deprecated / Legacy Alias,Renamed July 2026. Still appears in older workbooks (SRC-006 SRC-007). Legacy alias preserved.
The Salter Influence,Deprecated brand name for MES Agencies (MESA). Was one of two Canva brand kits.,Legacy Term,—,—,—,—,The Salter Influence,—,SRC-001,—,Deprecated,—
Undertaking,Deprecated phase 1 name in early Salter Momentum material.,Legacy Term,—,—,—,—,Undertaking,—,Explicit User Correction — SRC-002,—,Deprecated,Replaced by 'Understanding'
Five-pillar Salter Momentum system,Invented by AI assistant across prior sessions. Never from Betsy's source material. Fully retired.,Legacy / Retired,—,—,—,—,"Time+Momentum, Purpose+Pattern, Rituals, Build+Execute, See the Signal",—,SRC-001 — Explicit User Decision,—,Retired / Archived,Never surface or reference again
Data Basin / DataBasin Bridge,Early architecture terminology from April 2026 platform slides. Not in canonical product list.,Legacy Term,—,—,—,—,Data Basin,—,SRC-011 SRC-012,—,Deprecated,Superseded by SaltBridge + Salt Basin Layer concepts — NOTE: under review per SB-SR-001 DEC-004 (SRC-021 uses Data Basin®)
