Metric_ID,Metric_Name,Domain,Product_Context,Metric_Type,Formula,Numerator,Denominator,Unit,Claim_ID,Primary_Source_ID,Source_Publisher,Source_Date,Source_Credibility,Evidence_Strength,Confidence_Level,Confidence_Rationale,Decay_Rule,Limitations,Counterfactual_Risk,Status,Notes
MET-TIDE-001,SaltTide Seed Round Target,SaltTide — Financing,SaltTide,Internal Planning Target,Direct — stated amount,N/A,N/A,USD ($),CLM-TIDE-001,SRC-001,Salt Basin Holdings (Betsy Salter),2026,Primary,High,High,Explicit founder statement; internal planning figure,Update upon close or material revision,Not a public market claim; internal financial planning target,N/A — not a predictive claim,Canonical,Value = $3,500,000. Not to be used as a market size claim.
MET-TIDE-002,SaltTide — Credit Risk Position,SaltTide — Business Model,SaltTide,Architecture Metric — Risk,Definitional — zero balance sheet credit risk by design,N/A,N/A,Binary (zero / non-zero),N/A,SRC-001,Salt Basin Holdings (Betsy Salter),2026,Primary,High,High,Explicit product design constraint; core business model attribute,Re-verify only if product model changes,Applies to SaltTide product as designed; third-party card issuers carry their own risk,N/A — design constraint not a forecast,Canonical,SaltTide carries ZERO credit risk on its balance sheet — it reads and routes; does not issue or guarantee
MET-RLMM-001,RLMM Stage Count,RLMM™ — Diagnostic,RLMM™,Architecture Metric,Count of RLMM maturity stages,Count of canonical RLMM stages,N/A,Count (integer),N/A,SRC-001,Salt Basin Holdings (Betsy Salter),2026,Primary,Medium,Medium — stage names pending confirmation (OI-001); stage count may change upon finalization,Re-verify once OI-001 is resolved,Stage names not yet finalized; stage count subject to revision,N/A,Candidate — blocked on OI-001,Stage names needed to complete RLMM crosswalk and interactive app — see Open Item OI-001. SB-SR-001 proposes 6 Evidence Maturity stages from SRC-021 (DEC-001).
MET-BOEM-001,BOEM Maturity Level Count,Business Outcome Evidence Maturity,HOS / RLMM / Cross-product,Architecture Metric,Count of BOEM maturity levels in canonical model,Count of levels 0 through 5,N/A,Count (integer),N/A,SRC-000 SRC-003,Salt Basin (canonical synthesis),2026,Primary,High,High,Derived from canonical BOEM model defined in ART-16; consistent with CMMI 5-level pattern and APQC precedent,Re-verify only if BOEM model is redesigned,N/A,N/A,Canonical,Value = 6 levels (0–5). Level 0 = Ungoverned; Level 5 = Continuous. HOS target = move portcos from L0-2 to L4-5. NOTE: stage names under correction per SB-SR-001 DEC-002.
MET-L2-001,EIDOS L2 Scenario Seed Count,EIDOS — Scenario Repository,EIDOS,Architecture Metric,Count of L2 scenarios in initial seed file,Count of L2 scenario records in SRC-005,N/A,Count (integer),N/A,SRC-005,Salt Basin (internal),2026,Primary,High,High,Derived from file title: Salt_Basin_EIDOS_L2_Scenario_Repository_Initial_500.xlsx,Re-verify by running row count on SRC-005,Exact count TBD pending row count; "500+" is the stated seed batch,N/A,Candidate — exact count pending,Value stated as "500+" initial L2 scenarios across Revenue Lifecycle / Customer Journey and other journey rods. Verify with row count of SRC-005.
MET-ENT-001,Salt Basin Entity Tier Count,Enterprise Architecture,Enterprise Structure,Architecture Metric,Count of canonical tiers in the entity hierarchy,Count of tiers from Holdings through product/subsidiary level,N/A,Count (integer),N/A,SRC-001,Salt Basin Holdings (Betsy Salter),2026,Primary,High,High,Explicit and consistent across all reviewed sources,Re-verify only if entity structure changes,N/A,N/A,Canonical,"Value = 5 tiers. Tier 1: Holdings / Tier 2: MESS / Tier 3: Net Works + Creative Works / Tier 4: MES Solutions + MESA + product platforms / Tier 5: Products"
MET-ENT-002,MESS Acronym Meaning Count,Enterprise Architecture — Brand,MESS (MES Subsidiaries LLC),Brand Metric,Count of canonical acronym readings for MESS,Count of confirmed meanings,N/A,Count (integer),N/A,SRC-001,Salt Basin Holdings (Betsy Salter),2026,Primary,High,High,Explicit in SRC-001; multi-pronged acronym is intentional design,Re-verify only if Betsy modifies acronym intent,N/A,N/A,Canonical,"Value = 4: Martha Elizabeth Salter Subsidiaries / Monetized Economic Spending Solutions / Managed Equity Security Services / Measured Enterprise Scaling Solutions"
MET-AGENT-001,Hardcoded Agent Constraint Count,Agent Security Standard,All Agents,Architecture Metric,Count of hardcoded constraints applicable to all Salt Basin agents,Count of rules in ART-13 Section 4 hardcoded list,N/A,Count (integer),N/A,SRC-000 SRC-003,Salt Basin canonical synthesis,2026,Primary,High,High,Derived from ART-13 Section 4,Re-verify upon ART-13 revision,N/A,N/A,Canonical,Value = 7 hardcoded constraints. See ART-13 Section 4.
MET-AGENT-002,BestyStaff Response Delay,BestyStaff — UX Design,BestyStaff,Design Specification,Direct — stated duration,N/A,N/A,Seconds,N/A,SRC-001,Salt Basin Holdings (Betsy Salter),2026,Primary,High,High,Explicit design specification — intentional feature not a performance constraint,Re-verify only if Betsy modifies the UX specification,N/A,N/A,Canonical,Value = 9 seconds. Deliberate delay. Must never be optimized away. Rationale: encourages completeness of user input.
MET-Q2R-001,Q2R Canonical Step — Invoice Error Rate ROI Threshold,HOS — ROI Model,HOS Step 8 (Bill),Derived — ROI Modeling,Conservative minimum error rate to produce positive HOS billing optimization ROI,Minimum error rate × average contract value × mitigation rate,N/A,Percentage (%) — threshold,CLM-HOS-001 CLM-HOS-002,SRC-008,Salt Basin (derived),2026,Derived — model output,Low,Low–Medium,Derived from CLM-HOS-001 and CLM-HOS-002; exact threshold depends on HOS pricing and deployment cost inputs not yet finalized,Re-derive once HOS pricing model is finalized,Highly sensitive to pricing assumptions; use directional framing only until pricing is set,If true error rate is at or below threshold HOS billing module cannot be justified on ROI alone,Candidate — model incomplete,Placeholder for ROI threshold calculation; requires HOS pricing inputs to complete
